ISO3,Year,gdp_real_gwt_next,gdp_real_gwt_prev,gdp_real_gwt,gdp_real_us_fixed,gdp_per_capita,gdp_pp_govt,gdp_pp_private,inflation_pp,unemployment,renew_energy,agric_employment,vulnerable_employment,imports,exports,foreign_inv,real_interest_rate,cab,population,pop_density,pop_growth,life_expectancy,death_rate,child_mortality,renewable_energy_output,agric_land,agff_gdp,arable_land,rural_pop,electricity_access,fuel_exports,metal_exports,co2_emissions,industry_gdp,service_value_added
ZMB,2001,4.50601428032604,3.89732294341896,5.31686827418419,8487518230.93072,793.804886959221,,,25.3312584622414,,89.76,71.2300033569336,81.7400016784668,39.558583610284,25.109699098695,145000000.0,16.6774634895963,-18.0006111186887,10692197.0,14.3830250608698,2.61767060032465,44.615,17.395,146.9,99.3705149187964,30.3407363564213,15.5274822358648,3.66160427232005,64.998,20.1723861694336,1.15597239860319,60.42152558648,0.172088112480531,23.3606116903584,4467.04005020563
VUT,2001,-5.19831875936035,5.92480905652914,-3.39758248938256,506835860.094651,2678.70904711008,20.5122732123799,76.5128068303095,3.62490552941837,,47.42,69.0599975585938,74.4799964427948,49.815901814301,37.9562433297759,18004322.0771219,5.00612709278554,0.705178324233457,189209.0,15.5216570959803,2.26910126490365,67.583,5.999,28.3,0.0,14.5200984413454,23.5298826040555,1.64068908941756,78.047,23.9438800811768,,,0.475664476848353,9.04749199573106,
UZB,2001,3.97348819234789,3.83499999933798,4.1638382499787,32783122799.2601,1313.19227138031,18.5000101516659,57.8260816600004,45.2394762791963,0.400000005960464,0.78,38.1699981689453,46.8400001525879,27.1011715022435,29.6751060849085,82799999.9,,,24964450.0,57.2696031988181,1.26596853291421,67.374,5.3,57.4,12.5456099747712,62.6848141019612,29.973808702008,10.2796212988431,53.394,99.6301040649414,,,5.03515999751647,19.9520841370069,2730.39215264434
URY,2001,-7.73200720593074,-1.92993063772035,-3.84412994932251,32187618155.4394,9679.11557654221,12.4920421206891,75.8802122252133,4.82661832166458,15.0500001907349,41.63,11.3900003433228,24.8299990892411,19.5048533701585,16.8046592733471,310402928.186631,43.2064213777374,-2.38113490774505,3325471.0,19.0005199405782,0.172665897450392,74.939,9.404,16.5,99.7945945945946,85.4873728716718,5.5867032330245,7.86767226602674,7.697,97.7853927612305,1.94499804550468,0.578066535543876,1.4885109507796,21.9351337396218,20931.279346739
USA,2001,1.69594292274957,4.07715947941618,0.954338728708379,13885563060000.0,48726.5816727299,14.5356379493206,66.8479299246576,2.25295235878073,4.73000001907349,4.68,1.52999997138977,4.52000007778407,13.2637338366067,9.70344749898923,172496000000.0,4.56584792926521,-3.72407498836611,284968955.0,31.1036283879362,0.989741382223669,76.8365853658537,8.5,8.3,6.78399231432694,45.2900702036254,1.1292569744094,19.1444588033949,20.766,100.0,1.88077482714846,1.91205830386319,20.1715306146243,21.4690044492824,100596.153467023
GBR,2001,2.12322277320661,3.6723691050331,2.07265627894577,2358195032558.94,39888.499257412,17.3999122609615,66.6537363958519,1.85101763216447,4.69999980926514,0.85,1.38999998569489,9.03999957442284,27.3828110291999,25.2899459993363,56090924808.7938,3.21190445013526,-1.96352284027851,59119673.0,244.366854048692,0.384975969564228,77.9926829268293,10.2,6.4,2.49733241275421,70.0739883437358,0.782120850455726,23.3579961145786,21.249,100.0,8.02728595472992,2.20906839925781,9.22298741402037,21.7339755854304,72086.3938763951
UGA,2001,8.73268576387758,3.14190733850195,5.18366112627659,12854303475.4603,527.053884081399,15.5818448611249,77.40990722864,4.53447581130423,,95.22,69.6100006103516,86.0599994659424,23.8118941444251,11.5180826372043,151496150.651927,17.3344956752882,-5.23214599453164,24388974.0,122.060827786397,3.07613069626081,47.22,15.757,139.3,99.6170948616601,63.1199639657675,27.8502414792568,27.0256743906711,84.799,8.60000038146973,2.55881071072934,3.24813087048735,0.0533027752622968,21.1686543080984,3131.60053535604
TUR,2001,6.44772204681594,6.93323970455904,-5.75000655464257,390031787736.966,6075.99562671406,12.6459211374445,64.8362363870526,52.9797606802043,8.38000011444092,18.12,27.1399993896484,41.6700000762939,22.6895332634566,27.1819418753369,3352000000.0,,1.86368208037485,64192243.0,83.4066278601406,1.49422662100438,70.56,6.338,35.3,19.8378488490528,53.2307732286943,8.78803796915921,30.9252497953562,34.66,100.0,1.41871774710539,2.22073372004527,3.08090184666082,25.5036230941505,24366.6503733453
TUN,2001,1.32255714828946,4.7099729138049,3.79627166202512,29034453159.554,2964.54003935648,16.5716427689439,61.1678804525868,3.91357764557321,14.3999996185303,14.22,19.9200000762939,25.9899997711182,46.7353778696167,42.8168233248494,451514809.247852,,-3.80890272307697,9793915.0,63.0401325952626,0.877524351745046,73.415,5.579,27.9,0.684691011235955,61.1418640576725,9.4218557064738,17.8553038105046,36.182,97.3000030517578,9.23624419584617,1.39400822278712,2.2023879112694,26.4366983342993,10219.2281110002
TGO,2001,3.82662257962257,-0.783479606389903,0.823438748781086,2509789403.27099,495.753916986249,13.4382823048739,77.8006399357485,1.63405347606225,,82.05,47.7700004577637,87.7299976348877,43.6463258956614,28.9567242068499,72617650.8875252,,-11.4189111827479,5062571.0,93.0790770362199,2.7670798812541,53.554,12.69,116.4,40.650406504065,62.8792057363486,33.9296318066856,42.1033278176135,66.644,19.6003665924072,0.409219102211552,20.5086835969488,0.233083150833835,15.4303170297697,1054.17941376737
THA,2001,6.14903605210036,4.45524704335014,3.44424900968372,229082177284.849,3605.36823470443,13.4744970113195,56.0027958834807,1.91753224493053,2.59999990463257,19.89,46.0400009155273,56.6499996185303,57.01727651688,63.250689756653,5067170388.09022,5.25258115113859,4.24027233043999,63539190.0,124.369609896455,0.927419911266926,70.832,6.951,20.9,6.63639914079281,38.8107028910333,8.57928745008654,30.4918867075104,67.452,90.4513778686523,2.78708983762126,1.07137652405813,2.72524720570092,36.3210034946673,
TZA,2001,7.09319498353686,4.52078463488321,6.07080828847816,19594152576.252,586.510925292969,8.00368234648943,74.0417627441,4.81596921335611,2.99000000953674,93.17,82.2900009155273,90.3800010681152,14.1882236698977,13.8322827976542,549270351.46,14.5410020204007,-4.1503544972071,34385849.0,38.8189760668322,2.61242421008998,51.444,13.356,121.9,94.7935368043088,38.4962745540754,25.8002891149191,9.62971325355611,77.326,9.861008644104,0.122563598729357,6.439722843554,0.0910258170446802,19.3738518563285,3116.76096750397
