year_fc,mae,mse
2002,0.6130076876959379,0.9430657541685347
2003,0.7002749312523628,0.9104732002358914
2004,0.6940811034827865,0.8879245729531371
2005,0.5717419370744257,0.7443574968414404
2006,0.619021449462357,1.0127281982963316
2007,0.694609780426516,0.9293954325321181
2008,0.6815404514932608,0.8921379603298735
2009,1.0632757622584872,1.8268556599058243
2010,0.9085583994433301,1.2512792421703882
2011,0.5597764918010357,0.6721419859711627
2012,0.6174355639013541,0.6734217608277144
2013,0.5318878072910145,0.5473642294599497
2014,0.6735309405185812,1.0043955812586114
2015,0.6046056904597774,1.3366565632677472
2016,0.635485118228122,0.8309392602463785
2017,0.6658863376443981,0.9226438618992837
2018,0.5585257113804318,0.6790978638723878
2019,0.5630327014654736,0.6541147690337829
2020,1.1780888899672919,2.0131791813076787
2021,0.6925901715946335,1.0485833548196002
